,南屯萬和宮,大甲鎮瀾宮,清水紫雲巖,梧棲浩天宮,豐原慈濟宮,龍井新庄永順宮,東勢東聖宮,沙鹿玉皇殿,大肚瑞安宮,社口萬興宮,西屯福壽宮,南區醒修宮,北屯紫微宮,太平聖和宮,北區明德宮天聖堂,潭子潭水亭觀音廟,中區順天宮輔順將軍廟,大里杙福興宮
南屯萬和宮,0.0,35.338,22.57,20.1295,19.6525,9.7265,34.78,16.8285,8.8565,18.5195,4.5575,4.455,7.180999999999999,17.020500000000002,5.4485,15.873,4.677,6.8895
大甲鎮瀾宮,35.338,0.0,10.2035,19.4735,21.8575,23.0185,32.2705,18.7885,25.7345,20.5465,33.1045,42.181,28.253,43.495000000000005,30.8455,32.838499999999996,35.581500000000005,48.216499999999996
清水紫雲巖,22.57,10.2035,0.0,6.2715,21.610500000000002,12.859,32.022999999999996,4.7385,15.5745,20.2985,27.7035,46.1815,22.1405,43.2475,24.7335,32.591,30.1725,42.4675
梧棲浩天宮,20.1295,19.4735,6.2715,0.0,27.6555,10.418,38.068,3.1870000000000003,13.1335,26.344,18.201999999999998,34.0035,18.274,52.0355,19.7085,38.6365,20.6705,40.408500000000004
豐原慈濟宮,19.6525,21.8575,21.610500000000002,27.6555,0.0,25.247,13.433,26.212,23.3035,3.7395,17.419,18.738999999999997,12.567,18.265500000000003,15.159500000000001,5.209,19.895000000000003,21.787
龍井新庄永順宮,9.7265,23.0185,12.859,10.418,25.247,0.0,40.855000000000004,7.117,2.729,23.935,9.699,13.77,13.7315,37.5705,11.2055,16.6785,12.168,32.872
東勢東聖宮,34.78,32.2705,32.022999999999996,38.068,13.433,40.855000000000004,0.0,36.6245,40.603,19.988,32.547,34.2235,27.695,33.749,30.2875,21.8355,33.0935,37.271
沙鹿玉皇殿,16.8285,18.7885,4.7385,3.1870000000000003,26.212,7.117,36.6245,0.0,9.8325,24.9005,15.7235,30.7025,16.3315,49.498000000000005,17.23,37.193,18.192,37.108000000000004
大肚瑞安宮,8.8565,25.7345,15.5745,13.1335,23.3035,2.729,40.603,9.8325,0.0,22.170499999999997,12.655999999999999,12.8995,16.764499999999998,32.0715,14.1625,20.198,13.807500000000001,15.8935
社口萬興宮,18.5195,20.5465,20.2985,26.344,3.7395,23.935,19.988,24.9005,22.170499999999997,0.0,16.286,24.18,11.434000000000001,25.494,14.027000000000001,5.849,18.7625,29.016
西屯福壽宮,4.5575,33.1045,27.7035,18.201999999999998,17.419,9.699,32.547,15.7235,12.655999999999999,16.286,0.0,5.3805,3.0404999999999998,12.952,1.5815000000000001,12.08,3.4615,9.455
南區醒修宮,4.455,42.181,46.1815,34.0035,18.738999999999997,13.77,34.2235,30.7025,12.8995,24.18,5.3805,0.0,7.0835,8.9785,4.791,14.9325,2.2785,4.106
北屯紫微宮,7.180999999999999,28.253,22.1405,18.274,12.567,13.7315,27.695,16.3315,16.764499999999998,11.434000000000001,3.0404999999999998,7.0835,0.0,19.9795,2.7065,8.106,4.8309999999999995,16.65
太平聖和宮,17.020500000000002,43.495000000000005,43.2475,52.0355,18.265500000000003,37.5705,33.749,49.498000000000005,32.0715,25.494,12.952,8.9785,19.9795,0.0,11.592500000000001,14.4585,9.217,10.0685
北區明德宮天聖堂,5.4485,30.8455,24.7335,19.7085,15.159500000000001,11.2055,30.2875,17.23,14.1625,14.027000000000001,1.5815000000000001,4.791,2.7065,11.592500000000001,0.0,8.631,3.141,9.1965
潭子潭水亭觀音廟,15.873,32.838499999999996,32.591,38.6365,5.209,16.6785,21.8355,37.193,20.198,5.849,12.08,14.9325,8.106,14.4585,8.631,0.0,10.778,17.979999999999997
中區順天宮輔順將軍廟,4.677,35.581500000000005,30.1725,20.6705,19.895000000000003,12.168,33.0935,18.192,13.807500000000001,18.7625,3.4615,2.2785,4.8309999999999995,9.217,3.141,10.778,0.0,6.6945
大里杙福興宮,6.8895,48.216499999999996,42.4675,40.408500000000004,21.787,32.872,37.271,37.108000000000004,15.8935,29.016,9.455,4.106,16.65,10.0685,9.1965,17.979999999999997,6.6945,0.0
